,WellName,SampleName,Amp,Off,EC50,AUC,rEC50,SEAmp,SEOff,SEEC50,SEauc,SErEC50,c^2,R^2,BSA
0,AM1414 (10)_0,S1,4.939781296745466,0.06314147905455825,4.797532110590065,0.45287890602898195,0.20844050168889994,0.42091473427224735,0.0040497755403846696,0.5020657746455468,0.005153199645851104,0.029485392294674614,3.4195575599115524e-05,-3988.9181188280886,0.242
1,AM1414 (10)_1,S2,3.2975369677611104,0.056828393632360134,1.5619387938468017,0.7488566532013885,0.6402299526328828,0.08894267754762185,0.0027516854402702545,0.06776992807200383,0.004152480189116008,0.027340027299768616,1.6735391454513347e-05,-18346.748094285354,0.194
2,AM1414 (10)_2,S3,2.218697783835857,0.06418428117493939,0.7888852293124932,0.7856814849006954,1.2676115141254345,0.03600652327868533,0.003162399522775753,0.02593559025793482,0.004706026586821727,0.04225750783731919,2.360376389552549e-05,-11963.47826075464,0.207
3,AM1414 (2.5)_3,S4,3.10729831409241,0.05651078557988338,4.797532110590065,0.28487695641890304,0.20844050168889994,0.40180086378674734,0.0043717516741773165,0.7568151154888659,0.006126098936557592,0.06697758101302857,3.7865693998667884e-05,-1425.24790314332,0.223
4,AM1414 (2.5)_4,S5,4.297875589275578,0.03421638200858414,4.797532110590065,0.3940290223784139,0.20844050168889994,1.180020707292044,0.023152811968064475,1.5384319964339954,0.03318882919990363,0.2792671520175613,0.0013740068668873897,-74.9536621310689,0.19
5,AM1414 (2.5)_5,S6,3.9370625732829625,0.04225864067886087,4.797532110590065,0.360949702840237,0.20844050168889994,0.9068158110074891,0.01940903182670422,1.3558377930464767,0.027992444602349464,0.18210353837274015,0.0010813780257219565,-79.93061314819883,0.261
6,AM1414 (20)_6,S7,2.171732670702909,0.044023693295396196,0.7155421581065697,0.812876306027147,1.3975416943232915,0.09995712172969795,0.010896987516943513,0.07186909829899499,0.0161738265220178,0.14272358108478655,0.00023547954945832996,-1247.7683707980325,0.279
7,AM1414 (20)_7,S8,2.2088790041099458,0.04968555322822231,0.46124485504521956,1.0340461984806115,2.1680458634101445,0.03842747735508215,0.0059972349781473545,0.020632775580004592,0.01040255314285063,0.0963756216580522,8.762158683280367e-05,-4766.67383206383,0.237
8,AM1414 (20)_8,S9,2.730046751469091,0.0547711969768794,0.9588949267620188,0.8599901379440826,1.0428671297456793,0.04292252690662892,0.0032061261603636383,0.030491733262575163,0.004908032629899675,0.03256559709215482,2.0295653096044786e-05,-17611.346757624695,0.301
9,BB26_9,S10,0.20246904020173115,0.05563277574751888,4.144288617289765,0.021094719715052043,0.24129593576761282,0.03297514869630889,0.0004066485500634035,0.8385410374645739,0.0005355140949034332,0.06988194814287443,3.994150878690762e-07,-727.5319846556445,0.124
10,BB26_10,S11,0.49326597266063554,0.052028179924544525,4.797532110590065,0.04522260008293258,0.20844050168889994,0.08926193673384318,0.001653717547819879,1.0308975909388618,0.002195575206187556,0.12124106469097756,8.852231671433018e-06,-153.45295424718586,0.141
11,BB26_11,S12,0.4083241014816196,0.05388731762160559,4.797532110590065,0.03743513351615319,0.20844050168889994,0.0910817727218655,0.0014016511625034934,1.2968723493021455,0.0023396149710969514,0.1825436381273197,4.664955760537327e-06,-199.59925853592222,0.136
12,BB27_12,S13,0.29419744974709144,0.05554111547023864,4.797532110590065,0.026972007705231903,0.20844050168889994,0.08298838396193416,0.002120021502182345,1.5952410934526484,0.002761772214220015,0.36327442599981874,8.92301467732445e-06,-54.02475165869479,0.116
13,BB27_13,S14,0.42615225944484253,0.05203535913454608,4.797532110590065,0.03906961816028425,0.20844050168889994,0.11460664218159082,0.0019773443874260945,1.534206354025645,0.0032090670438124696,0.2783086144195905,1.2706002867566754e-05,-79.70096295067435,0.075
14,BB27_14,S15,0.6472089718019364,0.053471668673501296,4.797532110590065,0.05933608666337403,0.20844050168889994,0.13521244218171707,0.0017533346434686072,1.160551799666904,0.0027456008173815448,0.14633759196162072,8.68130200620064e-06,-269.5339204867177,0.097
15,BB29_15,S16,0.36534422921959075,0.0561412071497276,4.797532110590065,0.03349474094368907,0.20844050168889994,0.06955854659182431,0.0012486924782027144,1.070806553241504,0.0014550273009275858,0.10856685865677781,5.024932778758056e-06,-148.29287608342494,0.137
16,BB29_16,S17,0.3913538972231931,0.05609827686792393,4.797532110590065,0.03587930602542844,0.20844050168889994,0.09937537483636634,0.0023588147239715146,1.5222483853775055,0.0033195863644789486,0.25122337117290783,1.4027819908374702e-05,-60.83522022659285,0.069
17,BB29_17,S18,0.49880144948843746,0.05636365475749721,4.797532110590065,0.04573009232591414,0.20844050168889994,0.15319469652988651,0.0038838410383294627,1.732488793663116,0.005888855298179025,0.45815599611685237,4.0344850726980925e-05,-34.2745552659816,0.105
18,Sample1_18,S19,0.5417616436361954,0.05411070559217077,4.797532110590065,0.04966868080983094,0.20844050168889994,0.15505030466287598,0.00394918364343437,1.5903405226179665,0.00559946033600684,0.4320881642527286,4.5703350178887074e-05,-35.70044595785862,0.163
19,Sample10_19,S20,0.618908422689355,0.053424073843718285,4.797532110590065,0.05674149371437657,0.20844050168889994,0.1016641125431253,0.001193476862924032,0.9359802980364971,0.001673116484771944,0.08216344016396918,4.000739069310177e-06,-535.034291709782,0.276
20,Sample100_20,S21,1.8183621032312134,0.004809383411355014,0.025927634134732685,1.644957716589575,38.5688873424976,0.04706311702248795,0.043142538585230664,0.0020773808691341867,0.04849834937364332,3.068040936997627,0.000786971886039995,-575.5501344016342,0.291
21,Sample101_21,S22,2.069942856624557,0.049704594901478105,0.31218867342782053,1.142082183536547,3.203191163279678,0.023043869650660572,0.0066037075018036085,0.011547641032075968,0.009175256981096506,0.11769354608556713,5.5449390610104995e-05,-8195.306728220556,0.168
22,Sample102_22,S23,2.554415765700234,0.044531517347095644,4.797532110590065,0.23418871160868626,0.20844050168889994,0.6768761300036924,0.018542105924866683,1.4536701588903609,0.02670519067732176,0.3513257317691191,0.0010619630929292448,-34.14828991251356,0.139
23,Sample103_23,S24,1.4988834632047499,0.3805361535123638,0.009771852621159751,1.4309516743567763,102.33474027582265,0.26076530590491964,0.2630357366103357,0.003355297343155404,0.26714971502262014,55.59692941923102,0.0036607414379795007,-57.027938765663116,0.128
24,Sample104_24,S25,0.5636491455942594,0.055664762253987934,4.797532110590065,0.05167532591150901,0.20844050168889994,0.15807275512156732,0.003532810434928987,1.6459340810562033,0.006066810058082404,0.4203338141162046,3.370206881087108e-05,-52.49780385247707,0.192
25,Sample105_25,S26,0.6941152159574785,0.05883014866415228,4.797532110590065,0.06363644881768356,0.20844050168889994,0.20573105156830254,0.0059055699768017205,1.6786055854193882,0.008160183330271345,0.46853713167222066,8.863259465312454e-05,-30.18792445922397,0.626
26,Sample106_26,S27,1.8286987555635799,-0.023523294290006783,0.020314979779183857,1.6832005638169092,49.224759801369316,0.06835322019578505,0.07735499224090912,0.003367411889088994,0.07571288242713009,8.386835108297145,0.0017528163924503345,-244.33207348594814,0.332
27,Sample107_27,S28,1.1259200798551414,0.04819538542556788,4.797532110590065,0.10322429747584319,0.20844050168889994,0.3246375915825191,0.011390984519651011,1.6633571808914422,0.014751924395515703,0.49429255356237545,0.0002895749794419406,-24.272901733788533,0.191
28,Sample108_28,S29,0.32898071143077534,0.05367891934991276,4.797532110590065,0.030160935423510653,0.20844050168889994,0.09000611123476347,0.0033986262828154873,1.5954325438088175,0.0041646891396899454,0.34115707045245436,3.0787293645785336e-05,-19.451727280014776,0.21
29,Sample109_29,S30,1.8550104228671558,-0.03425489016711387,0.022397265206550204,1.6962601128766337,44.64830820985878,0.05529094286445817,0.055397321879380214,0.0026715801954334656,0.05905952874616507,5.806079912957003,0.0013214038668699511,-343.35796509701765,0.155
30,Sample11_30,S31,1.7101372518950586,0.04296290593191329,0.01934759978969891,1.5789686098699376,51.685997791437785,0.03605434005484621,0.03765393479625356,0.0015333734865716781,0.03817350571059081,4.019195333650177,0.0003927919726757759,-939.3689799219928,0.787
31,Sample110_31,S32,0.8481326248461307,0.053870081576555054,4.797532110590065,0.07775675728009793,0.20844050168889994,0.2101666268214198,0.004432315954501972,1.4059745770040042,0.006159318578431162,0.22023287542356257,4.986254074994918e-05,-80.4463109765248,0.281
32,Sample111_32,S33,0.7528652807222211,0.050822645141081084,4.797532110590065,0.06902265186220258,0.20844050168889994,0.20363060367581926,0.0050790578815375995,1.5496914952267178,0.006512197093567126,0.32883629131706105,7.019707790150322e-05,-44.938474407602236,0.201
